date,day,variant,visitors,orders
2026-08-03,Mon,old,5067,173
2026-08-03,Mon,new,1263,42
2026-08-04,Tue,old,5200,180
2026-08-04,Tue,new,1269,44
2026-08-05,Wed,old,4661,183
2026-08-05,Wed,new,1114,42
2026-08-06,Thu,old,4656,158
2026-08-06,Thu,new,1187,39
2026-08-07,Fri,old,4989,173
2026-08-07,Fri,new,1286,44
2026-08-08,Sat,old,2950,168
2026-08-08,Sat,new,4347,252
2026-08-09,Sun,old,2893,151
2026-08-09,Sun,new,4351,225
2026-08-10,Mon,old,5046,183
2026-08-10,Mon,new,1377,49
2026-08-11,Tue,old,4595,157
2026-08-11,Tue,new,1126,37
2026-08-12,Wed,old,5017,158
2026-08-12,Wed,new,1285,42
2026-08-13,Thu,old,4743,171
2026-08-13,Thu,new,1156,42
2026-08-14,Fri,old,5101,161
2026-08-14,Fri,new,1335,44
2026-08-15,Sat,old,3172,185
2026-08-15,Sat,new,4879,293
2026-08-16,Sun,old,3111,155
2026-08-16,Sun,new,4616,238
