month,segment,subscribers_start,new_signups,cancelled
2024-01,student,900,41,25
2024-01,professional,1700,65,43
2024-01,family,1000,40,21
2024-02,student,916,38,30
2024-02,professional,1722,79,48
2024-02,family,1019,47,25
2024-03,student,924,43,31
2024-03,professional,1753,73,51
2024-03,family,1041,38,26
2024-04,student,936,38,73
2024-04,professional,1775,76,48
2024-04,family,1053,40,25
2024-05,student,901,38,27
2024-05,professional,1803,65,44
2024-05,family,1068,44,23
2024-06,student,912,44,26
2024-06,professional,1824,69,46
2024-06,family,1089,40,23
2024-07,student,930,212,27
2024-07,professional,1847,78,48
2024-07,family,1106,37,24
2024-08,student,1115,119,32
2024-08,professional,1877,76,47
2024-08,family,1119,41,23
2024-09,student,1202,45,39
2024-09,professional,1906,67,54
2024-09,family,1137,45,27
2024-10,student,1208,38,39
2024-10,professional,1919,70,51
2024-10,family,1155,40,26
2024-11,student,1207,41,36
2024-11,professional,1938,67,52
2024-11,family,1169,42,25
2024-12,student,1212,40,40
2024-12,professional,1953,66,53
2024-12,family,1186,38,29
2025-01,student,1212,37,33
2025-01,professional,1966,78,48
2025-01,family,1195,38,25
2025-02,student,1216,40,37
2025-02,professional,1996,64,55
2025-02,family,1208,40,27
2025-03,student,1219,38,41
2025-03,professional,2005,79,57
2025-03,family,1221,41,29
2025-04,student,1216,36,94
2025-04,professional,2027,76,48
2025-04,family,1233,46,25
2025-05,student,1158,45,34
2025-05,professional,2055,66,53
2025-05,family,1254,43,27
2025-06,student,1169,36,33
2025-06,professional,2068,71,50
2025-06,family,1270,42,26
2025-07,student,1172,173,33
2025-07,professional,2089,64,53
2025-07,family,1286,41,28
2025-08,student,1312,131,41
2025-08,professional,2100,76,56
2025-08,family,1299,38,28
2025-09,student,1402,36,39
2025-09,professional,2120,76,53
2025-09,family,1309,45,27
2025-10,student,1399,39,43
2025-10,professional,2143,79,56
2025-10,family,1327,43,30
2025-11,student,1395,40,48
2025-11,professional,2166,67,61
2025-11,family,1340,43,32
2025-12,student,1387,42,46
2025-12,professional,2172,67,60
2025-12,family,1351,45,32
2026-01,student,1383,37,38
2026-01,professional,2179,78,54
2026-01,family,1364,45,28
2026-02,student,1382,39,40
2026-02,professional,2203,74,58
2026-02,family,1381,43,31
2026-03,student,1381,37,38
2026-03,professional,2219,66,51
2026-03,family,1393,42,27
2026-04,student,1380,36,111
2026-04,professional,2234,76,58
2026-04,family,1408,39,31
