order_id,city,order_hour,distance_km,prep_time_min,delivery_time_min,rating
ORD-10001,Hyderabad,10,6.1,6,32,5
ORD-10002,Chennai,22,1.6,19,29,5
ORD-10003,Bengaluru,16,1.3,21,32,5
ORD-10004,Bengaluru,16,4.3,19,36,5
ORD-10005,Bengaluru,8,1.6,14,25,5
ORD-10006,Hyderabad,12,1.2,12,24,5
ORD-10007,Pune,13,1.3,16,30,4
ORD-10008,Bengaluru,22,2.8,17,32,4
ORD-10009,Hyderabad,20,5.5,19,38,3
ORD-10010,Pune,8,4.8,9,,5
ORD-10011,Hyderabad,21,5.5,13,476,5
ORD-10012,Hyderabad,21,6.7,22,53,3
ORD-10013,Pune,22,3.3,11,28,5
ORD-10014,Pune,18,4.4,18,37,5
ORD-10015,Chennai,7,5.5,18,41,4
ORD-10016,Bengaluru,8,1.4,13,23,5
ORD-10017,Pune,19,1.8,13,25,5
ORD-10018,Chennai,12,3.2,13,305,5
ORD-10019,Chennai,19,7.0,16,51,4
ORD-10020,Pune,9,3.6,16,33,5
ORD-10021,Chennai,19,3.6,15,37,4
ORD-10022,Bengaluru,20,2.8,15,34,4
ORD-10023,Bengaluru,1,4.1,16,34,4
ORD-10024,Bengaluru,17,6.6,15,,5
ORD-10025,Chennai,22,5.4,15,38,5
ORD-10026,Bengaluru,20,6.1,14,44,3
ORD-10027,Pune,13,3.2,14,30,5
ORD-10028,Hyderabad,7,5.9,15,,4
ORD-10029,Hyderabad,22,4.1,13,32,5
ORD-10030,Kolkata,1,4.0,16,39,5
ORD-10031,Hyderabad,16,3.8,11,31,5
ORD-10032,Bengaluru,15,5.5,13,35,5
ORD-10033,Chennai,13,5.2,12,34,4
ORD-10034,Bengaluru,17,1.6,13,24,5
ORD-10035,Hyderabad,10,6.2,16,40,5
ORD-10036,Chennai,14,3.2,12,26,5
ORD-10037,Pune,9,6.9,18,53,3
ORD-10038,Hyderabad,19,3.0,8,32,5
ORD-10039,Hyderabad,9,6.3,18,45,4
ORD-10040,Chennai,8,0.9,14,23,5
ORD-10041,Pune,20,2.3,12,28,5
ORD-10042,Chennai,20,6.2,14,39,4
ORD-10043,Bengaluru,19,4.0,20,43,4
ORD-10044,Bengaluru,17,2.6,12,28,5
ORD-10045,Hyderabad,0,6.3,14,41,4
ORD-10046,Hyderabad,22,5.4,16,44,3
ORD-10047,Hyderabad,12,1.0,15,29,
ORD-10048,Pune,20,2.5,6,23,5
ORD-10049,Kolkata,13,5.3,18,38,4
ORD-10050,Bengaluru,8,1.2,11,16,
ORD-10051,Chennai,19,2.1,13,29,4
ORD-10052,Chennai,13,2.6,16,30,5
ORD-10053,Hyderabad,20,6.5,11,39,4
ORD-10054,Hyderabad,21,6.0,16,41,4
ORD-10055,Chennai,21,1.4,10,28,5
ORD-10056,Pune,20,7.0,13,41,4
ORD-10057,Pune,19,1.1,19,30,5
ORD-10058,Kolkata,20,4.2,12,47,2
ORD-10059,Hyderabad,11,4.4,9,28,5
ORD-10060,Hyderabad,15,4.2,17,32,5
ORD-10061,Chennai,17,6.1,11,36,5
ORD-10062,Chennai,19,4.0,19,43,5
ORD-10063,Chennai,9,5.6,11,37,4
ORD-10064,Kolkata,17,5.7,17,40,5
ORD-10065,Kolkata,12,4.5,11,32,4
ORD-10066,Bengaluru,11,3.8,20,40,5
ORD-10067,Pune,22,1.7,11,22,5
ORD-10068,Hyderabad,22,5.2,15,35,5
ORD-10069,Hyderabad,17,6.8,13,39,4
ORD-10070,Pune,22,2.5,12,19,5
ORD-10071,Pune,18,2.8,16,30,5
ORD-10072,Pune,15,7.0,9,38,4
ORD-10073,Hyderabad,14,6.3,12,39,3
ORD-10074,Chennai,9,3.9,15,32,5
ORD-10075,Bengaluru,10,3.5,18,38,4
ORD-10076,Pune,20,4.8,12,32,5
ORD-10077,Chennai,13,1.9,16,34,5
ORD-10078,Hyderabad,13,5.0,7,31,5
ORD-10079,Pune,14,5.4,12,35,5
ORD-10080,Chennai,18,3.9,11,27,5
ORD-10081,Pune,8,3.2,12,26,5
ORD-10082,Kolkata,13,3.9,13,33,5
ORD-10083,Chennai,8,4.2,14,32,4
ORD-10084,Bengaluru,11,6.5,12,44,3
ORD-10085,Kolkata,18,2.6,12,33,
ORD-10086,Bengaluru,12,6.9,7,37,5
ORD-10087,Hyderabad,12,3.5,12,28,5
ORD-10088,Chennai,22,1.1,7,16,5
ORD-10089,Kolkata,9,5.7,16,42,5
ORD-10090,Kolkata,11,4.3,10,27,5
ORD-10091,Chennai,7,3.8,16,32,5
ORD-10092,Chennai,12,3.6,12,32,5
ORD-10093,Chennai,11,2.8,21,34,5
ORD-10094,Pune,14,6.4,13,,5
ORD-10095,Chennai,14,5.6,11,30,5
ORD-10096,Bengaluru,16,5.9,12,39,4
ORD-10097,Bengaluru,19,5.0,12,35,5
ORD-10098,Hyderabad,22,1.4,9,19,5
ORD-10099,Bengaluru,13,2.0,17,32,4
ORD-10100,Bengaluru,21,5.5,10,40,4
ORD-10101,Hyderabad,20,3.3,9,22,5
ORD-10102,Pune,15,6.4,15,41,4
ORD-10103,Bengaluru,14,1.6,8,21,5
ORD-10104,Kolkata,16,1.2,15,28,5
ORD-10105,Kolkata,17,2.9,14,33,4
ORD-10106,Pune,22,4.6,13,37,4
ORD-10107,Pune,23,6.4,11,34,4
ORD-10108,Pune,20,4.3,15,34,5
ORD-10109,Kolkata,14,3.8,15,36,5
ORD-10110,Pune,22,2.9,10,30,5
ORD-10111,Pune,13,1.7,17,30,5
ORD-10112,Kolkata,11,4.5,23,46,4
ORD-10113,Hyderabad,16,6.8,13,39,
ORD-10114,Bengaluru,19,1.8,13,,5
ORD-10115,Bengaluru,13,2.0,14,30,5
ORD-10116,Hyderabad,7,2.8,13,26,5
ORD-10117,Bengaluru,19,6.8,22,55,3
ORD-10118,Chennai,14,2.3,12,26,5
ORD-10119,Pune,18,4.1,9,28,5
ORD-10120,Chennai,20,1.0,18,27,
ORD-10121,Kolkata,11,3.9,15,38,4
ORD-10122,Hyderabad,22,1.2,7,15,5
ORD-10123,Kolkata,20,2.2,14,44,4
ORD-10124,Bengaluru,10,2.1,14,30,5
ORD-10125,Chennai,21,3.3,6,25,5
ORD-10126,Kolkata,12,2.8,13,29,5
ORD-10127,Bengaluru,20,6.7,14,44,4
ORD-10128,Kolkata,14,1.7,17,32,4
ORD-10129,Kolkata,16,2.6,14,25,5
ORD-10130,Kolkata,20,2.3,15,40,4
ORD-10131,Pune,17,2.4,16,30,
ORD-10132,Hyderabad,22,1.4,13,20,5
ORD-10133,Kolkata,20,5.3,14,50,3
ORD-10134,Pune,12,1.7,18,34,5
ORD-10135,Chennai,15,4.6,12,28,5
ORD-10136,Chennai,21,4.9,17,47,4
ORD-10137,Chennai,14,6.5,14,38,3
ORD-10138,Chennai,8,2.9,15,30,5
ORD-10139,Kolkata,18,4.8,16,44,3
ORD-10140,Hyderabad,18,3.7,16,39,4
ORD-10141,Kolkata,11,3.8,13,33,4
ORD-10142,Bengaluru,9,4.4,18,35,4
ORD-10143,Bengaluru,10,4.6,16,36,
ORD-10144,Hyderabad,20,3.1,16,36,5
ORD-10145,Pune,21,6.6,18,46,3
ORD-10146,Chennai,19,5.3,19,40,4
ORD-10147,Kolkata,12,5.3,16,44,5
ORD-10148,Chennai,23,2.1,17,26,5
ORD-10149,Bengaluru,10,2.8,16,40,3
ORD-10150,Bengaluru,14,2.8,13,27,5
ORD-10151,Pune,19,6.6,18,48,3
ORD-10152,Chennai,13,3.3,15,34,4
ORD-10153,Bengaluru,11,5.5,13,39,4
ORD-10154,Hyderabad,18,6.4,20,44,
ORD-10155,Kolkata,0,1.3,13,21,5
ORD-10156,Hyderabad,17,3.5,12,36,4
ORD-10157,Kolkata,13,3.1,13,35,5
ORD-10158,Pune,9,4.1,9,24,5
ORD-10159,Kolkata,10,6.4,17,47,4
ORD-10160,Pune,13,2.2,15,31,4
ORD-10161,Pune,18,3.6,15,31,4
ORD-10162,Pune,20,6.3,14,40,4
ORD-10163,Bengaluru,22,5.5,13,40,
ORD-10164,Chennai,17,3.9,15,34,5
ORD-10165,Hyderabad,10,1.4,9,17,5
ORD-10166,Chennai,19,1.2,7,22,5
ORD-10167,Kolkata,19,5.6,15,60,2
ORD-10168,Pune,23,1.6,8,18,5
ORD-10169,Kolkata,10,3.5,14,33,5
ORD-10170,Pune,10,2.7,16,33,4
ORD-10171,Kolkata,2,4.9,13,34,4
ORD-10172,Chennai,15,4.0,10,32,5
ORD-10173,Bengaluru,19,2.8,12,29,5
ORD-10174,Kolkata,19,5.7,6,36,5
ORD-10175,Kolkata,11,3.4,13,,4
ORD-10176,Chennai,14,1.3,15,24,5
ORD-10177,Hyderabad,12,4.2,13,32,5
ORD-10178,Chennai,13,5.1,14,37,4
ORD-10179,Chennai,20,5.9,11,40,4
ORD-10180,Kolkata,22,3.7,18,53,3
ORD-10181,Hyderabad,10,3.4,16,37,4
ORD-10182,Chennai,9,6.7,17,46,5
ORD-10183,Pune,17,5.0,15,36,5
ORD-10184,Hyderabad,16,0.9,13,19,5
ORD-10185,Bengaluru,20,2.4,9,27,5
ORD-10186,Chennai,19,5.8,13,38,4
ORD-10187,Pune,12,1.6,9,27,4
ORD-10188,Chennai,13,4.3,7,,5
ORD-10189,Hyderabad,15,3.3,7,21,
ORD-10190,Kolkata,11,2.3,9,21,5
ORD-10191,Bengaluru,20,6.0,17,43,4
ORD-10192,Pune,13,2.7,14,33,5
ORD-10193,Chennai,16,6.8,8,36,5
ORD-10194,Pune,21,5.4,9,31,5
ORD-10195,Pune,12,1.2,11,24,
ORD-10196,Chennai,18,3.2,16,33,5
ORD-10197,Kolkata,18,6.4,15,42,3
ORD-10198,Chennai,7,5.4,14,36,5
ORD-10199,Bengaluru,21,4.2,14,33,5
ORD-10200,Bengaluru,15,2.5,6,21,5
ORD-10201,Chennai,17,4.8,13,32,
ORD-10202,Bengaluru,21,3.5,16,41,4
ORD-10203,Hyderabad,20,3.3,9,20,5
ORD-10204,Pune,12,2.7,12,26,5
ORD-10205,Pune,18,6.6,16,46,3
ORD-10206,Hyderabad,17,3.0,18,39,4
ORD-10207,Hyderabad,21,1.7,13,26,
ORD-10208,Hyderabad,22,6.6,7,30,
ORD-10209,Hyderabad,9,6.9,17,39,4
ORD-10210,Bengaluru,16,6.6,14,43,4
ORD-10211,Pune,19,1.5,17,26,
ORD-10212,Hyderabad,14,3.5,19,39,4
ORD-10213,Chennai,20,6.3,13,47,4
ORD-10214,Bengaluru,15,5.3,20,43,4
ORD-10215,Kolkata,12,1.5,11,28,5
ORD-10216,Chennai,23,6.2,19,45,4
ORD-10217,Hyderabad,23,0.8,16,421,5
ORD-10218,Chennai,10,5.6,14,39,3
ORD-10219,Bengaluru,19,4.2,16,36,5
ORD-10220,Kolkata,22,5.0,14,52,3
ORD-10221,Kolkata,14,4.4,14,40,3
ORD-10222,Bengaluru,14,4.0,13,29,5
ORD-10223,Chennai,20,1.2,16,27,5
ORD-10224,Hyderabad,18,6.8,11,34,5
ORD-10225,Chennai,1,3.7,17,34,4
ORD-10226,Bengaluru,16,1.1,15,25,5
ORD-10227,Kolkata,8,3.4,14,32,5
ORD-10228,Kolkata,20,6.9,22,63,1
ORD-10229,Chennai,19,6.7,17,42,4
ORD-10230,Chennai,14,6.6,14,40,
ORD-10231,Hyderabad,19,4.8,14,34,4
ORD-10232,Chennai,19,6.9,13,47,3
ORD-10233,Chennai,20,6.4,14,45,3
ORD-10234,Hyderabad,13,2.1,16,312,5
ORD-10235,Kolkata,10,3.7,17,36,5
ORD-10236,Hyderabad,22,6.7,17,46,
ORD-10237,Hyderabad,18,3.3,17,35,5
ORD-10238,Chennai,8,1.4,14,27,5
ORD-10239,Pune,21,5.2,20,40,3
ORD-10240,Pune,20,4.3,13,34,5
ORD-10241,Kolkata,21,4.4,12,49,3
ORD-10242,Pune,14,5.1,13,38,5
ORD-10243,Pune,21,1.6,14,30,4
ORD-10244,Kolkata,16,0.9,13,25,
ORD-10245,Pune,2,2.3,13,25,5
ORD-10246,Chennai,16,4.3,20,40,5
ORD-10247,Pune,9,6.5,14,40,5
ORD-10248,Bengaluru,21,2.0,18,31,5
ORD-10249,Bengaluru,19,3.2,12,29,5
ORD-10250,Kolkata,20,3.0,16,47,3
ORD-10251,Chennai,8,5.9,12,35,5
ORD-10252,Hyderabad,20,3.4,17,,4
ORD-10253,Chennai,18,5.1,13,32,5
ORD-10254,Bengaluru,14,4.6,9,,5
ORD-10255,Kolkata,12,5.3,17,40,4
ORD-10256,Pune,9,1.6,10,17,5
ORD-10257,Chennai,14,5.7,11,29,5
ORD-10258,Pune,17,3.6,16,31,5
ORD-10259,Hyderabad,13,2.0,16,29,5
ORD-10260,Kolkata,19,4.4,11,42,5
ORD-10261,Hyderabad,14,2.7,16,37,5
ORD-10262,Bengaluru,16,5.4,11,41,4
ORD-10263,Bengaluru,11,2.6,24,36,3
ORD-10264,Chennai,8,4.3,13,33,4
ORD-10265,Kolkata,11,3.6,16,35,5
ORD-10266,Kolkata,20,4.3,17,58,2
ORD-10267,Pune,18,2.1,15,32,5
ORD-10268,Chennai,16,6.3,12,39,5
ORD-10269,Kolkata,19,3.5,9,43,3
ORD-10270,Bengaluru,12,3.4,13,33,5
ORD-10271,Chennai,13,1.6,10,21,5
ORD-10272,Kolkata,18,5.4,17,43,3
ORD-10273,Pune,14,4.4,17,40,3
ORD-10274,Hyderabad,22,6.3,13,39,4
ORD-10275,Bengaluru,20,3.4,15,35,5
ORD-10276,Hyderabad,9,3.1,17,31,5
ORD-10277,Pune,12,6.7,18,45,4
ORD-10278,Pune,14,4.2,22,39,3
ORD-10279,Pune,12,5.6,15,37,4
ORD-10280,Kolkata,17,6.9,11,43,5
ORD-10281,Chennai,12,5.0,18,36,5
ORD-10282,Pune,19,5.4,16,40,4
ORD-10283,Hyderabad,15,6.9,12,37,5
ORD-10284,Pune,15,3.3,8,28,5
ORD-10285,Pune,19,3.2,14,36,5
ORD-10286,Hyderabad,9,6.5,22,40,4
ORD-10287,Chennai,17,3.8,14,31,5
