order_id,item,category,quantity,price
50001,Masala dosa,Breakfast,1,90
50002,Filter coffee,Chai & coffee,2,40
50003,Cold coffee,Chai & coffee,1,90
50004,Idli,Breakfast,3,50
50005,Sandwich,Snacks,2,70
50006,Misal pav,Breakfast,2,90
50007,Cold coffee,Chai & coffee,2,90
50008,Upma,Breakfast,1,60
50009,Cold coffee,Chai & coffee,3,90
50010,Upma,Breakfast,3,60
50011,Cold coffee,Chai & coffee,2,90
50011,Idli,Breakfast,2,50
50011,Pesarattu,Breakfast,1,80
50012,Cold coffee,Chai & coffee,1,90
50013,Masala dosa,Breakfast,1,90
50013,Orange juice,Juice,1,70
50014,Filter coffee,Chai & coffee,3,40
50015,Filter coffee,Chai & coffee,2,40
50015,Masala dosa,Breakfast,2,90
50016,Misal pav,Breakfast,1,90
50016,Idli,Breakfast,1,50
50016,Masala chai,Chai & coffee,2,30
50017,Masala dosa,Breakfast,1,90
50017,Pesarattu,Breakfast,1,80
50017,Jalebi,Sweets,1,40
50018,Jalebi,Sweets,1,40
50018,Orange juice,Juice,1,70
50018,Misal pav,Breakfast,1,90
50018,Upma,Breakfast,1,60
50019,Idli,Breakfast,1,50
50019,Filter coffee,Chai & coffee,1,40
50019,Misal pav,Breakfast,1,90
50019,Poha,Breakfast,1,60
50020,Vada pav,Snacks,1,30
50020,Misal pav,Breakfast,1,90
50020,Masala chai,Chai & coffee,1,30
50021,Sandwich,Snacks,1,70
50021,Upma,Breakfast,1,60
50022,Upma,Breakfast,1,60
50022,Vada pav,Snacks,1,30
50022,Misal pav,Breakfast,2,90
50023,Misal pav,Breakfast,1,90
50023,Masala chai,Chai & coffee,1,30
50023,Cold coffee,Chai & coffee,1,90
50024,Idli,Breakfast,1,50
50025,Masala dosa,Breakfast,1,90
50025,Orange juice,Juice,1,70
50025,Idli,Breakfast,2,50
50026,Masala dosa,Breakfast,1,90
50026,Filter coffee,Chai & coffee,1,40
50027,Sandwich,Snacks,1,70
50027,Cold coffee,Chai & coffee,2,90
50028,Vada pav,Snacks,1,30
50029,Masala chai,Chai & coffee,1,30
50030,Poha,Breakfast,3,60
