order_id,customer_id,order_date,status,order_value
50001,2560,2026-04-01,delivered,90
50002,1063,2026-04-01,cancelled,80
50003,1768,2026-04-01,delivered,90
50004,2810,2026-04-01,delivered,150
50005,2917,2026-04-01,delivered,140
50006,2284,2026-04-01,delivered,180
50007,1138,2026-04-01,delivered,180
50008,1524,2026-04-01,delivered,60
50009,2455,2026-04-01,delivered,270
50010,1467,2026-04-01,delivered,180
50011,2934,2026-04-01,delivered,360
50012,3098,2026-04-01,delivered,90
50013,2781,2026-04-01,delivered,160
50014,2622,2026-04-01,delivered,120
50015,2701,2026-04-01,cancelled,260
50016,1842,2026-04-01,delivered,200
50017,2192,2026-04-01,delivered,210
50018,2279,2026-04-01,delivered,260
50019,2647,2026-04-01,delivered,240
50020,1952,2026-04-01,delivered,150
50021,1774,2026-04-01,delivered,130
50022,1981,2026-04-01,delivered,270
50023,1836,2026-04-01,delivered,210
50024,2481,2026-04-01,delivered,50
50025,1539,2026-04-01,delivered,260
50026,1032,2026-04-01,delivered,130
50027,3112,2026-04-01,delivered,250
50028,2023,2026-04-01,cancelled,30
50029,2957,2026-04-01,delivered,30
50030,2925,2026-04-01,delivered,230
50031,1761,2026-04-01,delivered,220
50032,1718,2026-04-01,delivered,130
50033,1936,2026-04-01,delivered,110
50034,2431,2026-04-01,delivered,220
50035,1298,2026-04-01,delivered,220
50036,1938,2026-04-01,delivered,170
50037,2089,2026-04-01,delivered,90
50038,2516,2026-04-01,delivered,130
50039,3041,2026-04-01,delivered,40
50040,2703,2026-04-01,delivered,40
50041,2383,2026-04-01,delivered,110
50042,2816,2026-04-01,delivered,90
50043,1908,2026-04-01,delivered,100
50044,1399,2026-04-02,delivered,50
50045,2698,2026-04-02,delivered,60
50046,1621,2026-04-02,cancelled,300
50047,1384,2026-04-02,delivered,60
50048,2261,2026-04-02,delivered,320
50049,3081,2026-04-02,delivered,60
50050,1040,2026-04-02,delivered,180
50051,1052,2026-04-02,delivered,420
50052,2934,2026-04-02,delivered,290
50053,3056,2026-04-02,cancelled,180
